Quality,Q.Score,Alc,Cl,TSO2,VA,FSO2,FA
1,6,9.5,0.053,134.0,0.24,34.0,5.9
1,7,11.4,0.048,138.0,0.21,70.0,6.5
1,6,12.2,0.03,117.0,0.27,30.0,7.7
1,6,11.3,0.028,95.0,0.27,27.0,9.0
1,5,10.2,0.05,136.0,0.34,14.0,7.3
1,5,11.3,0.052,188.0,0.27,41.0,6.6
1,5,9.4,0.049,86.0,0.28,12.0,7.1
1,7,12.2,0.032,133.0,0.25,47.0,6.8
0,4,9.2,0.094,188.0,0.57,23.0,7.0
1,6,9.6,0.052,182.0,0.17,49.0,7.1
1,5,9.5,0.056,130.0,0.28,24.0,7.8
1,6,12.5,0.036,195.0,0.22,38.0,6.8
1,6,10.0,0.047,173.0,0.14,37.0,6.1
1,5,9.3,0.047,211.0,0.24,60.0,6.4
1,6,9.3,0.058,199.0,0.42,34.0,7.8
1,6,11.6,0.038,101.0,0.28,22.0,6.6
2,8,12.5,0.039,150.0,0.32,46.0,7.1
1,6,10.6,0.038,130.0,0.31,18.0,6.7
1,5,9.4,0.047,206.0,0.32,57.0,6.4
1,6,9.1,0.056,201.0,0.28,44.0,6.1
1,6,9.0,0.057,224.0,0.29,48.0,5.9
1,7,11.8,0.033,94.0,0.32,23.0,5.8
1,7,11.8,0.033,94.0,0.32,23.0,5.7
1,5,10.0,0.043,159.0,0.28,64.0,6.7
1,5,9.7,0.058,171.0,0.34,12.0,6.8
1,6,9.5,0.052,165.0,0.25,30.0,5.9
1,5,11.2,0.052,183.0,0.46,50.0,8.1
1,5,9.0,0.051,201.0,0.36,54.0,6.2
1,7,10.7,0.043,114.0,0.22,21.0,6.8
1,6,9.1,0.044,222.0,0.28,61.0,7.2
1,7,10.8,0.039,125.0,0.17,34.0,6.7
0,4,10.1,0.043,136.0,0.2,25.0,6.9
1,6,9.9,0.037,198.0,0.36,36.0,6.1
1,5,9.8,0.036,191.0,0.36,36.0,6.0
1,5,9.8,0.036,185.0,0.37,34.0,5.9
1,6,9.5,0.041,225.0,0.29,51.0,7.6
1,5,9.5,0.047,198.0,0.34,49.0,6.3
1,6,11.1,0.022,94.0,0.19,22.0,6.7
1,5,9.5,0.039,204.0,0.31,62.0,7.5
1,5,9.4,0.042,204.0,0.31,62.0,7.4
1,5,9.7,0.042,197.0,0.4,29.0,8.4
1,7,13.9,0.03,135.0,0.34,19.0,5.9
0,4,10.1,0.042,84.0,0.38,20.0,6.6
1,6,10.5,0.038,110.0,0.33,30.0,6.4
1,6,12.6,0.037,115.0,0.25,18.0,5.6
1,5,10.9,0.032,41.0,0.27,13.0,8.6
1,5,10.0,0.041,218.0,0.31,50.0,6.2
1,6,11.2,0.046,166.0,0.18,57.0,7.2
1,6,10.0,0.05,130.0,0.2,44.0,7.7
1,5,9.2,0.044,98.0,0.47,13.0,6.2
1,5,9.5,0.046,172.0,0.25,51.0,6.1
1,6,12.3,0.035,128.0,0.27,31.0,8.2
1,5,10.0,0.04,213.0,0.31,57.0,6.4
1,6,10.8,0.038,187.0,0.39,39.0,6.0
1,7,10.5,0.038,150.0,0.21,41.0,6.2
1,6,9.2,0.048,221.0,0.42,22.0,7.7
1,7,10.2,0.042,127.0,0.29,35.0,7.4
1,5,8.9,0.053,178.0,0.29,62.0,6.6
1,5,10.4,0.046,182.0,0.3,15.0,6.0
1,6,11.7,0.032,128.0,0.31,23.0,6.9
2,8,12.4,0.02,89.0,0.33,29.0,6.6
1,7,10.9,0.028,122.0,0.3,23.0,7.8
1,5,10.2,0.041,136.0,0.39,35.0,6.4
1,7,11.7,0.038,114.0,0.24,41.0,6.4
1,5,9.4,0.057,101.0,0.21,19.0,7.0
1,5,10.5,0.043,157.0,0.16,42.0,6.4
1,6,10.4,0.042,139.0,0.23,25.0,6.5
1,6,9.5,0.044,240.0,0.25,78.0,6.2
1,7,11.1,0.022,49.0,0.28,14.0,8.8
1,6,9.1,0.052,183.0,0.25,40.0,6.6
1,5,9.2,0.04,191.0,0.38,28.0,6.9
1,6,9.6,0.038,129.0,0.25,15.0,6.4
1,7,10.8,0.021,142.0,0.21,40.0,7.1
1,6,11.0,0.031,57.0,0.2,21.0,5.8
1,6,10.2,0.03,136.0,0.2,26.0,7.0
1,5,9.4,0.034,152.0,0.26,38.0,5.9
1,5,10.0,0.041,160.0,0.38,24.0,7.4
1,6,10.5,0.033,253.0,0.21,31.0,7.0
1,6,11.5,0.024,177.0,0.29,56.0,7.2
1,6,9.8,0.049,176.0,0.18,44.0,6.9
1,6,11.4,0.025,175.0,0.3,51.0,7.3
1,6,10.2,0.036,167.0,0.2,78.0,6.9
1,5,9.1,0.11,138.0,0.35,14.0,5.9
1,7,12.2,0.032,107.0,0.28,32.0,7.1
1,5,9.5,0.056,175.0,0.25,45.0,5.8
1,6,9.3,0.051,178.0,0.22,68.0,6.8
1,7,9.8,0.051,136.0,0.14,55.0,7.1
1,7,9.8,0.047,134.0,0.13,54.0,7.1
1,6,9.8,0.05,173.0,0.2,42.0,7.0
1,6,9.5,0.042,168.0,0.3,36.0,6.3
1,6,11.0,0.05,135.0,0.27,35.0,7.2
1,5,9.2,0.078,238.0,0.5,81.0,6.7
1,6,10.9,0.028,46.0,0.2,7.0,6.8
1,7,9.8,0.045,120.0,0.12,29.0,6.8
1,7,9.3,0.13,140.0,0.16,58.0,6.6
1,7,9.3,0.135,144.0,0.21,61.0,6.6
1,5,9.4,0.039,172.0,0.27,49.0,6.1
2,9,10.4,0.035,124.0,0.27,28.0,9.1
1,6,12.1,0.115,104.0,0.225,29.0,6.4
1,6,11.0,0.039,98.0,0.14,18.0,8.3
1,5,9.0,0.052,197.0,0.23,47.0,7.2
1,7,9.5,0.053,178.0,0.22,59.0,6.9
1,6,9.3,0.056,213.0,0.29,44.0,7.8
1,6,9.3,0.039,119.0,0.3,31.0,7.6
1,6,9.2,0.04,117.0,0.34,31.0,7.7
1,7,10.0,0.037,116.0,0.34,26.0,5.8
1,7,10.9,0.033,92.0,0.24,28.0,5.9
1,5,10.0,0.046,144.0,0.46,34.0,6.4
1,5,9.3,0.049,173.0,0.32,38.0,7.4
1,5,9.0,0.05,157.0,0.31,37.0,7.2
1,6,9.2,0.054,215.0,0.42,42.0,7.8
1,6,9.6,0.046,153.0,0.24,47.0,6.9
1,6,9.4,0.041,113.0,0.18,30.0,5.4
2,8,11.1,0.036,75.0,0.18,14.0,6.0
1,6,8.9,0.036,161.0,0.27,44.0,7.8
1,5,9.3,0.048,222.0,0.28,61.0,6.0
1,5,9.3,0.044,220.0,0.39,57.0,6.8
1,7,9.8,0.039,165.0,0.21,46.0,6.6
1,6,9.8,0.032,112.0,0.32,24.0,7.3
1,5,9.6,0.046,205.0,0.31,57.0,6.4
1,6,9.6,0.046,204.0,0.29,55.0,6.2
1,6,9.0,0.046,246.0,0.39,65.0,6.0
1,6,9.5,0.046,206.0,0.3,57.0,6.2
1,6,9.2,0.063,120.0,0.41,17.0,6.0
1,7,9.1,0.055,160.0,0.35,9.0,6.4
1,6,9.5,0.045,166.0,0.26,44.0,6.5
1,6,10.5,0.072,229.0,0.35,44.0,7.9
1,5,9.0,0.04,125.0,0.3,24.0,6.2
1,5,11.7,0.036,77.0,0.18,7.0,8.4
1,5,9.1,0.034,133.0,0.56,27.0,6.6
2,9,12.4,0.021,85.0,0.36,24.0,6.6
1,5,9.4,0.053,104.0,0.18,34.0,6.8
1,6,9.6,0.047,117.0,0.19,36.0,6.7
1,6,9.8,0.042,167.0,0.21,36.0,7.0
1,6,10.2,0.046,155.0,0.25,24.0,6.8
2,9,12.5,0.031,139.0,0.24,27.0,7.4
1,7,10.9,0.044,90.0,0.16,20.0,7.1
1,7,11.0,0.043,90.0,0.16,21.0,7.1
1,6,10.5,0.06,110.0,0.205,34.0,7.3
0,4,11.5,0.037,161.0,0.17,34.0,7.4
2,8,12.8,0.044,108.0,0.3,34.0,7.3
1,6,12.2,0.035,82.0,0.25,27.0,6.9
2,8,12.8,0.04,108.0,0.42,34.0,7.5
2,8,11.9,0.034,177.0,0.25,30.0,7.3
1,7,12.0,0.034,126.0,0.34,12.0,7.5
1,7,12.0,0.036,126.0,0.33,12.0,7.6
1,7,8.8,0.044,169.0,0.23,35.0,8.7
1,7,10.8,0.036,101.0,0.19,33.0,6.9
2,8,11.0,0.034,118.0,0.21,29.0,7.3
1,5,9.3,0.035,153.0,0.22,62.0,6.6
1,5,10.8,0.026,73.0,0.34,17.0,9.2
1,6,11.5,0.03,105.0,0.2,30.0,6.0
1,5,9.4,0.042,166.0,0.38,58.0,8.2
1,7,9.5,0.036,117.0,0.18,40.0,6.9
1,5,8.6,0.039,151.0,0.34,41.0,7.7
1,7,10.3,0.038,116.0,0.2,30.0,7.4
1,5,9.4,0.042,169.0,0.4,59.0,8.2
1,7,10.0,0.038,149.0,0.22,60.0,6.7
2,8,10.4,0.03,103.0,0.27,38.0,8.1
1,7,9.1,0.041,182.0,0.25,57.0,7.3
1,6,12.1,0.029,111.0,0.28,24.0,6.2
2,8,8.5,0.042,143.0,0.18,41.0,7.8
1,7,9.0,0.04,173.0,0.28,49.0,7.3
1,6,10.1,0.037,97.0,0.24,37.0,7.3
1,5,9.4,0.08,159.0,0.45,11.0,6.0
1,6,10.7,0.03,125.0,0.26,24.0,6.3
1,5,10.1,0.029,64.0,0.15,10.0,7.7
1,7,10.0,0.037,141.0,0.21,28.0,7.1
1,6,10.2,0.119,104.0,0.28,33.0,6.0
1,6,8.9,0.126,110.0,0.16,37.0,6.2
2,8,11.9,0.037,111.0,0.12,18.0,6.9
1,6,9.9,0.04,121.0,0.36,9.0,8.8
1,6,11.5,0.022,125.0,0.26,22.0,7.4
1,6,9.8,0.035,236.0,0.23,38.0,6.8
1,7,12.2,0.024,105.0,0.34,20.0,6.1
1,6,11.4,0.04,173.0,0.26,39.0,7.3
1,7,11.0,0.044,90.0,0.3,34.0,6.5
1,7,11.0,0.031,114.0,0.26,40.0,5.8
1,5,9.4,0.036,114.0,0.26,38.0,5.9
1,7,12.2,0.037,128.0,0.31,33.0,7.0
1,6,10.3,0.043,67.0,0.19,17.0,5.6
1,6,10.5,0.047,242.0,0.18,52.0,6.8
1,6,10.5,0.044,87.0,0.29,12.0,7.0
1,6,10.9,0.039,67.0,0.26,13.0,6.6
1,6,10.5,0.047,242.0,0.18,52.0,6.8
1,7,11.0,0.052,145.0,0.2,30.0,6.6
1,6,9.7,0.046,113.0,0.29,26.0,8.0
1,5,8.9,0.048,229.0,0.28,63.0,6.1
1,6,9.6,0.047,206.0,0.31,60.0,5.9
2,8,8.8,0.056,159.0,0.21,49.0,6.9
0,4,11.1,0.047,101.0,0.19,9.0,8.4
0,4,10.3,0.048,72.0,0.27,8.0,8.3
2,8,12.2,0.036,124.0,0.25,30.0,7.1
0,4,9.8,0.054,159.0,0.23,23.0,8.0
1,5,8.8,0.049,217.0,0.24,46.0,7.5
1,5,9.9,0.04,144.0,0.33,24.0,6.3
1,5,9.9,0.042,143.0,0.33,22.0,6.2
1,5,9.9,0.041,145.0,0.34,22.0,6.3
0,4,9.5,0.05,88.0,0.32,11.5,8.0
1,7,10.3,0.042,137.0,0.13,36.0,7.4
1,6,11.0,0.037,124.0,0.3,23.0,7.7
1,6,11.9,0.031,107.0,0.24,27.0,7.0
1,7,10.2,0.04,107.0,0.18,20.0,8.6
1,6,8.9,0.036,153.0,0.32,56.0,7.7
1,6,10.0,0.044,215.0,0.26,69.0,6.5
2,8,10.7,0.044,152.0,0.28,50.0,7.9
1,5,9.8,0.047,100.0,0.27,13.0,6.3
1,5,9.3,0.042,80.0,0.595,26.0,5.4
1,7,9.5,0.057,173.0,0.25,52.0,6.7
1,5,10.0,0.055,179.0,0.25,47.0,6.5
1,5,9.0,0.044,115.0,0.36,42.0,6.1
1,5,8.9,0.033,230.0,0.26,64.0,6.4
1,6,10.0,0.046,225.0,0.26,80.0,6.5
1,5,9.6,0.037,205.0,0.29,58.0,5.9
1,5,8.9,0.039,233.0,0.28,64.0,6.2
1,5,8.9,0.041,230.0,0.27,61.0,6.1
1,5,11.4,0.048,67.0,0.43,10.0,6.4
1,6,10.0,0.044,244.0,0.35,56.0,6.2
1,7,9.6,0.044,194.0,0.24,39.0,7.7
1,5,9.7,0.034,197.0,0.34,40.0,6.2
1,6,9.5,0.037,212.0,0.27,61.0,6.3
1,7,10.0,0.039,88.0,0.415,27.0,5.4
1,7,12.2,0.03,135.0,0.48,31.0,6.9
1,7,8.7,0.051,131.0,0.18,16.0,6.5
1,7,10.2,0.058,105.0,0.15,28.0,6.7
1,5,10.0,0.039,147.0,0.16,24.0,8.5
1,5,11.5,0.034,84.0,0.25,8.0,7.3
1,5,9.5,0.043,134.0,0.345,15.0,7.6
1,6,9.8,0.035,143.0,0.22,26.0,7.6
1,6,10.1,0.028,99.0,0.17,14.0,6.5
1,5,10.0,0.042,117.0,0.23,39.0,8.2
1,5,9.5,0.042,133.0,0.32,13.0,7.5
1,7,10.2,0.041,79.0,0.23,25.0,6.6
1,7,10.2,0.039,78.0,0.2,25.0,6.6
1,6,9.0,0.05,174.0,0.24,38.0,7.3
1,7,12.3,0.037,101.0,0.42,34.0,8.0
1,6,11.6,0.023,112.0,0.19,23.0,6.1
1,6,9.5,0.034,152.0,0.26,36.0,5.9
1,5,11.5,0.035,101.0,0.23,14.0,8.3
1,6,9.6,0.041,188.0,0.34,43.0,6.5
1,6,9.0,0.039,153.0,0.22,38.0,6.8
1,7,12.6,0.02,110.0,0.27,24.0,6.0
1,6,11.7,0.046,114.0,0.13,14.0,7.1
1,5,9.2,0.054,111.0,0.3,22.0,7.6
1,6,10.3,0.058,131.0,0.13,47.0,6.6
1,5,8.6,0.05,189.0,0.14,53.0,6.5
1,7,10.7,0.037,155.0,0.28,32.0,7.7
1,5,9.8,0.15,54.0,0.2,10.0,6.0
1,6,9.8,0.152,55.0,0.19,9.0,6.0
1,6,12.5,0.027,72.0,0.39,15.0,5.1
1,6,11.9,0.026,77.0,0.36,21.0,5.7
1,5,10.8,0.043,149.0,0.19,63.0,6.9
1,6,10.5,0.05,122.0,0.41,29.0,6.0
1,6,10.3,0.054,161.0,0.28,44.0,7.4
1,6,10.3,0.053,163.0,0.3,45.0,7.4
1,7,12.0,0.036,117.0,0.28,8.0,7.7
1,6,10.2,0.04,143.0,0.16,41.0,8.6
0,4,10.2,0.046,69.0,0.26,7.0,8.2
1,5,9.9,0.049,217.0,0.25,75.0,6.5
0,4,10.1,0.046,62.0,0.24,9.0,7.0
1,6,9.5,0.04,187.0,0.18,24.0,8.6
1,6,10.5,0.046,154.0,0.27,27.0,7.8
1,5,10.4,0.046,29.0,0.26,6.0,6.0
1,6,9.5,0.062,152.0,0.24,33.0,6.1
1,6,9.2,0.056,184.0,0.24,43.0,8.0
1,7,10.1,0.046,165.0,0.21,47.0,7.6
1,7,9.8,0.05,84.0,0.19,16.0,8.0
1,5,9.4,0.045,216.0,0.28,61.0,6.4
1,6,9.4,0.045,221.0,0.28,60.0,6.4
1,7,10.4,0.063,136.0,0.24,18.0,6.9
1,6,11.3,0.038,153.0,0.36,40.0,5.8
1,6,10.8,0.044,91.0,0.18,18.0,6.6
1,5,9.3,0.052,79.0,0.52,30.0,5.1
1,7,10.3,0.059,199.0,0.22,45.0,6.6
1,6,10.5,0.055,146.0,0.15,32.0,8.3
1,6,10.3,0.043,109.0,0.16,25.0,7.6
1,7,11.2,0.048,173.0,0.16,60.0,7.7
1,6,10.3,0.057,98.0,0.16,31.0,8.3
1,5,9.5,0.048,210.0,0.25,62.0,6.2
1,5,8.9,0.064,162.0,0.16,63.0,6.1
1,5,10.2,0.036,113.0,0.39,19.0,7.6
1,5,9.2,0.071,136.0,0.37,44.0,6.8
1,6,10.5,0.045,157.0,0.18,47.0,7.1
1,6,9.5,0.049,189.0,0.14,56.0,8.3
1,7,11.4,0.041,125.0,0.2,35.0,8.6
1,6,10.5,0.06,174.0,0.19,48.0,7.6
1,6,12.0,0.088,185.0,0.34,23.0,6.8
1,6,9.7,0.039,123.0,0.15,38.0,6.2
1,6,10.2,0.042,140.0,0.14,47.0,6.6
0,4,9.5,0.04,60.0,0.55,13.0,8.0
1,7,10.4,0.052,128.0,0.24,51.0,7.0
0,4,9.3,0.05,245.0,0.6,50.0,6.3
1,6,10.5,0.054,166.0,0.2,24.0,7.1
1,6,10.0,0.047,232.0,0.34,45.0,6.2
1,6,10.2,0.055,234.0,0.3,44.5,7.1
1,6,10.2,0.04,148.0,0.17,39.0,8.8
1,5,10.7,0.06,75.0,0.17,18.0,7.5
1,5,9.7,0.044,77.0,0.47,11.0,7.1
1,7,9.3,0.034,104.0,0.15,33.0,7.1
1,5,11.0,0.035,102.0,0.17,13.0,7.5
1,5,10.7,0.039,75.0,0.275,19.0,7.7
0,4,10.7,0.043,104.0,0.49,18.0,7.3
1,7,10.9,0.049,94.0,0.21,23.0,7.2
1,5,10.5,0.05,92.0,0.15,24.0,7.3
1,5,10.0,0.046,107.0,0.19,23.0,6.5
1,5,9.2,0.038,75.0,0.4,15.0,8.3
1,6,12.6,0.035,116.0,0.37,36.0,6.1
1,5,9.0,0.048,152.0,0.24,29.0,7.3
1,5,11.3,0.035,86.0,0.29,18.0,7.6
0,4,10.3,0.05,119.0,0.29,17.0,9.4
1,5,10.0,0.049,111.0,0.26,29.0,8.6
1,6,10.7,0.06,111.0,0.21,26.0,7.5
1,5,9.0,0.093,197.0,0.51,35.0,7.2
0,4,8.7,0.077,166.0,0.3,48.0,5.3
1,7,11.6,0.054,121.0,0.26,30.0,8.0
1,5,9.4,0.07,185.0,0.21,45.0,7.0
1,5,9.5,0.079,216.0,0.26,35.5,6.7
1,5,9.5,0.073,202.0,0.26,36.0,6.7
1,6,10.9,0.072,159.0,0.26,48.0,8.1
1,6,9.1,0.048,172.0,0.3,62.0,6.4
1,7,11.1,0.037,125.0,0.19,33.0,7.5
1,7,12.6,0.024,87.0,0.33,9.0,8.8
1,6,11.0,0.031,147.0,0.2,38.0,6.9
1,7,11.3,0.04,166.0,0.37,32.0,8.0
1,7,10.9,0.036,118.0,0.29,28.0,8.2
1,5,10.9,0.048,192.0,0.34,25.0,7.7
1,6,9.3,0.049,186.0,0.55,27.0,6.2
1,7,12.7,0.033,124.0,0.4,28.0,6.4
1,6,10.1,0.048,180.0,0.28,42.0,7.5
1,5,10.0,0.037,132.0,0.26,43.0,7.8
1,6,10.1,0.046,227.0,0.34,29.0,6.3
1,7,9.0,0.059,118.0,0.15,31.0,6.8
1,6,9.4,0.038,155.0,0.27,52.0,6.3
1,6,9.2,0.048,190.0,0.2,43.0,7.4
1,7,10.1,0.035,142.0,0.23,29.0,6.3
1,5,8.6,0.041,160.0,0.31,58.0,7.3
2,8,11.2,0.027,128.0,0.24,21.0,5.2
2,8,11.2,0.037,123.0,0.24,39.0,7.0
1,7,10.6,0.034,127.0,0.17,17.0,7.0
1,6,8.9,0.048,178.0,0.21,35.0,7.2
1,6,10.6,0.069,156.0,0.21,24.0,7.1
1,7,10.6,0.038,132.0,0.17,29.0,8.4
1,5,8.8,0.045,183.0,0.24,52.0,7.4
2,8,11.0,0.033,97.0,0.24,25.0,5.3
1,6,10.2,0.04,139.0,0.28,44.0,6.5
1,6,10.1,0.039,120.0,0.29,32.0,6.5
1,7,14.0,0.025,120.0,0.29,12.0,5.8
1,6,11.8,0.028,107.0,0.17,45.0,6.3
1,5,11.4,0.033,148.0,0.16,59.0,6.3
1,5,10.7,0.036,117.0,0.29,6.0,7.9
1,7,11.5,0.028,191.0,0.32,25.0,5.5
1,7,12.6,0.029,87.0,0.37,27.0,7.2
1,7,12.6,0.024,76.0,0.29,13.0,6.1
0,4,9.3,0.054,151.0,0.22,18.0,9.2
1,6,12.1,0.04,96.0,0.18,15.0,8.0
1,6,9.9,0.053,177.0,0.22,55.0,6.5
1,5,10.7,0.047,102.0,0.18,22.0,7.4
2,8,10.4,0.047,96.0,0.15,33.0,7.0
1,5,10.5,0.04,64.0,0.415,11.0,5.9
1,5,9.7,0.037,216.0,0.45,33.0,8.1
1,5,10.5,0.04,64.0,0.415,11.0,5.8
1,5,9.0,0.042,138.0,0.5,26.0,6.4
1,6,10.1,0.047,117.0,0.4,30.0,6.0
1,7,11.4,0.04,89.0,0.25,40.0,6.6
1,5,10.8,0.042,124.0,0.36,11.0,9.8
1,5,10.9,0.044,135.0,0.23,19.0,9.6
1,6,9.2,0.047,182.0,0.55,33.0,6.3
1,7,12.0,0.042,99.0,0.125,24.0,6.4
1,7,11.8,0.031,117.0,0.25,33.0,7.9
1,6,9.1,0.048,159.0,0.2,36.0,6.9
1,6,9.7,0.047,128.0,0.23,24.0,6.9
1,5,9.1,0.043,162.0,0.39,28.0,6.8
1,5,10.0,0.053,114.0,0.22,27.0,8.7
1,5,10.4,0.042,127.0,0.41,19.0,7.4
1,6,9.5,0.048,161.0,0.25,30.0,6.7
2,8,12.3,0.027,178.0,0.26,70.0,6.0
2,8,11.7,0.031,170.0,0.31,70.0,6.1
1,5,9.5,0.058,133.0,0.28,39.0,9.2
1,5,11.5,0.034,91.0,0.31,26.0,9.0
1,6,10.6,0.076,57.0,0.16,17.0,8.5
1,5,10.2,0.052,146.0,0.34,30.0,9.3
1,5,10.5,0.048,131.0,0.24,27.0,7.2
1,5,10.5,0.047,132.0,0.25,27.0,7.2
1,5,8.9,0.041,223.0,0.32,71.0,6.8
1,5,10.6,0.031,151.0,0.27,15.0,9.1
1,5,9.5,0.041,188.0,0.34,12.0,8.9
1,6,10.8,0.025,111.0,0.17,29.0,7.0
1,5,9.5,0.038,220.0,0.25,61.0,6.7
1,5,8.9,0.042,219.0,0.32,69.0,6.9
1,6,10.6,0.035,102.0,0.395,26.0,5.3
0,4,9.0,0.037,171.0,0.16,37.0,7.9
0,4,10.5,0.034,172.0,0.33,26.0,7.6
1,6,9.0,0.054,135.0,0.3,23.0,7.8
1,6,9.6,0.055,153.0,0.14,50.0,7.5
1,7,10.2,0.043,151.0,0.25,29.0,6.6
1,6,10.4,0.057,73.0,0.23,15.0,8.2
1,5,10.4,0.03,129.0,0.24,34.0,6.0
1,6,10.6,0.044,113.0,0.23,22.0,7.4
1,5,11.0,0.037,74.0,0.2,21.0,7.2
1,6,9.9,0.062,115.0,0.25,20.0,7.7
1,5,9.6,0.03,118.0,0.61,15.0,8.2
1,6,12.8,0.036,119.0,0.21,10.0,7.6
1,5,11.4,0.045,101.0,0.22,31.0,7.4
1,6,10.0,0.036,214.0,0.26,49.0,7.2
1,5,9.1,0.042,173.0,0.25,57.0,6.4
1,7,9.4,0.039,198.0,0.32,29.0,6.3
1,6,10.2,0.042,189.0,0.25,19.0,6.8
1,5,9.2,0.036,167.0,0.44,35.0,9.8
1,5,9.4,0.044,109.0,0.2,31.0,7.2
1,6,10.1,0.029,125.0,0.42,20.0,7.5
1,6,10.6,0.025,134.0,0.26,33.0,6.4
1,7,12.8,0.033,138.0,0.46,40.0,7.9
1,5,8.9,0.065,225.0,0.41,65.0,6.5
1,5,9.3,0.048,184.0,0.32,22.0,7.5
2,8,11.1,0.026,104.0,0.21,40.0,6.6
1,6,9.9,0.037,143.0,0.21,45.0,7.1
1,7,10.7,0.024,135.0,0.25,36.0,6.9
1,6,9.2,0.074,107.0,0.26,29.0,7.1
1,7,9.1,0.042,129.5,0.22,44.5,7.3
1,6,9.6,0.025,216.0,0.37,36.0,6.2
1,6,9.2,0.038,141.0,0.22,53.0,7.9
1,7,10.7,0.02,93.0,0.25,14.0,7.4
1,6,10.8,0.027,93.0,0.18,37.0,6.8
1,7,10.8,0.028,75.0,0.17,26.0,7.0
1,5,9.0,0.046,192.0,0.3,35.0,6.4
1,6,10.7,0.049,97.0,0.33,10.0,5.0
1,5,9.4,0.047,200.0,0.33,11.0,8.9
1,6,8.8,0.037,171.0,0.26,61.0,7.0
1,6,11.5,0.031,134.0,0.21,48.0,6.3
1,6,12.5,0.03,125.0,0.23,30.0,8.0
1,6,10.5,0.042,59.0,0.28,14.0,9.2
1,5,9.7,0.064,188.0,0.27,28.0,7.3
1,6,11.3,0.04,155.0,0.32,32.0,7.6
1,6,10.8,0.033,59.0,0.24,11.0,9.7
1,5,10.6,0.045,169.0,0.28,41.0,8.0
2,8,11.7,0.034,93.0,0.37,17.0,8.2
2,8,11.1,0.027,126.0,0.26,25.0,7.2
1,6,11.0,0.044,217.5,0.23,15.5,6.4
1,7,12.5,0.034,127.0,0.4,50.0,5.9
1,6,10.0,0.038,115.0,0.28,21.0,7.6
1,7,12.3,0.033,102.0,0.23,29.0,7.2
1,6,12.7,0.023,87.0,0.32,19.0,6.8
1,5,10.5,0.039,110.0,0.18,20.0,6.9
1,6,12.5,0.047,109.0,0.26,25.0,9.4
0,3,12.4,0.033,96.0,0.33,18.0,8.3
1,6,8.7,0.043,238.0,0.29,46.0,7.3
1,7,12.4,0.03,114.0,0.41,40.0,7.9
1,7,12.6,0.033,93.0,0.44,27.0,7.9
1,6,11.0,0.037,131.0,0.39,29.0,7.7
1,6,10.1,0.043,155.0,0.26,47.0,7.7
1,5,10.5,0.036,195.0,0.32,46.0,7.8
1,5,10.9,0.024,116.0,0.24,35.0,7.3
1,7,13.5,0.041,128.0,0.44,35.0,7.1
1,5,9.7,0.042,164.0,0.25,28.0,10.3
1,6,9.2,0.041,178.0,0.14,44.0,7.9
1,7,10.6,0.036,187.0,0.18,33.0,7.4
1,7,13.3,0.033,141.0,0.43,36.0,8.1
1,5,10.1,0.037,131.0,0.26,23.0,6.4
1,7,10.6,0.055,167.0,0.2,41.0,8.0
1,6,11.3,0.046,80.0,0.21,25.0,7.2
1,7,10.8,0.045,73.0,0.18,20.0,7.2
1,5,10.4,0.051,195.0,0.57,46.0,8.4
1,7,10.5,0.034,160.0,0.26,48.0,5.3
1,5,9.3,0.049,150.0,0.245,28.0,5.7
1,6,9.3,0.047,152.0,0.245,24.0,5.6
1,7,12.2,0.037,165.0,0.25,52.0,7.3
1,5,9.2,0.138,150.0,0.16,58.0,7.0
1,6,10.3,0.057,104.0,0.22,29.0,6.4
1,6,9.4,0.046,157.0,0.18,28.0,7.3
1,6,9.0,0.034,212.0,0.29,65.0,6.9
1,6,9.3,0.036,245.0,0.21,64.0,6.2
1,6,9.2,0.037,236.0,0.23,63.0,6.4
1,6,9.4,0.05,156.0,0.19,31.0,7.3
1,6,9.5,0.039,223.0,0.29,77.5,9.6
1,5,9.9,0.036,73.0,0.14,15.0,7.2
1,7,11.1,0.059,174.0,0.31,36.0,6.9
2,8,12.3,0.028,116.0,0.28,36.0,7.5
1,5,9.4,0.04,145.0,0.31,21.0,7.6
1,6,9.4,0.048,190.0,0.35,55.0,8.4
1,5,10.9,0.037,126.0,0.5,23.0,8.1
1,6,9.2,0.064,132.0,0.22,20.0,6.2
1,6,10.8,0.083,133.0,0.24,10.0,7.0
1,6,10.5,0.025,153.0,0.27,14.0,6.6
1,6,12.5,0.026,140.0,0.16,29.0,7.8
1,7,12.1,0.028,168.0,0.27,26.0,7.7
1,5,8.7,0.039,147.0,0.31,51.0,7.4
2,8,12.7,0.026,151.0,0.45,50.0,8.0
1,7,11.4,0.05,147.0,0.16,40.0,6.6
1,7,12.9,0.032,110.0,0.21,35.0,8.3
1,7,12.8,0.029,109.0,0.32,29.0,7.2
1,6,11.2,0.034,78.0,0.16,15.0,6.6
1,6,9.7,0.033,98.0,0.16,16.0,8.4
1,6,9.7,0.038,191.0,0.23,54.0,7.5
1,6,10.3,0.037,79.0,0.17,14.0,6.2
0,4,11.6,0.03,102.0,0.39,10.0,6.9
0,4,11.6,0.031,102.0,0.41,10.0,6.9
1,6,10.9,0.045,131.0,0.38,30.0,7.5
1,7,12.6,0.045,122.0,0.42,29.0,7.3
